Varco,Data,Passaggi 24h
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/06/2015,10463
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/07/2015,10043
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/08/2015,6741
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/09/2015,5749
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/10/2015,7753
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/11/2015,7613
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/12/2015,7398
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/13/2015,7391
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/14/2015,6952
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/15/2015,4769
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/16/2015,5273
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/17/2015,7157
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/18/2015,7061
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/19/2015,7182
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/20/2015,7513
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/21/2015,7609
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/22/2015,6375
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/23/2015,6083
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/24/2015,8868
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/25/2015,9200
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/26/2015,9510
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/27/2015,10343
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/28/2015,10306
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/29/2015,7669
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/30/2015,6901
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,08/31/2015,11250
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/01/2015,11574
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/02/2015,10673
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/03/2015,12313
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/04/2015,13226
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/05/2015,8424
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/06/2015,7585
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/07/2015,11885
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/08/2015,11840
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/09/2015,12589
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/10/2015,14511
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/11/2015,13334
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/12/2015,8515
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/13/2015,7100
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/14/2015,11915
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/15/2015,11876
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/16/2015,12113
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/17/2015,10871
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/18/2015,13763
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/19/2015,8982
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/20/2015,7673
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/21/2015,12285
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/22/2015,12099
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/23/2015,12769
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/24/2015,13231
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/25/2015,13884
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/26/2015,8915
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/27/2015,7870
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/28/2015,12107
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/29/2015,12448
S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,09/30/2015,12464
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/01/2015,10183
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/02/2015,10156
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/03/2015,10629
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/04/2015,6899
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/05/2015,6144
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/06/2015,10059
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/07/2015,9654
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/08/2015,9357
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/09/2015,9357
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/10/2015,10615
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/11/2015,7054
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/12/2015,5971
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/13/2015,9990
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/14/2015,8909
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/15/2015,10244
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/16/2015,10271
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/17/2015,10806
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/18/2015,6925
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/19/2015,6050
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/20/2015,9916
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/21/2015,10100
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/22/2015,10154
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/23/2015,10259
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/24/2015,10553
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/25/2015,6303
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/26/2015,5885
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/27/2015,9913
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/28/2015,9999
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/29/2015,10044
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/30/2015,10549
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,07/31/2015,10494
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/01/2015,6985
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/02/2015,5766
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/03/2015,9253
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/04/2015,9069
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/05/2015,9381
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/06/2015,8497
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/07/2015,8707
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/08/2015,6084
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/09/2015,5105
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/10/2015,6731
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/11/2015,6527
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/12/2015,6353
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/13/2015,6513
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/14/2015,6119
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/15/2015,4006
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/16/2015,4134
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/17/2015,5353
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/18/2015,5792
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/19/2015,5873
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/20/2015,6337
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/21/2015,6311
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/22/2015,5006
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/23/2015,4855
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/24/2015,7197
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/25/2015,7536
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/26/2015,7932
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/27/2015,8510
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/28/2015,8596
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/29/2015,6059
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/30/2015,5460
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,08/31/2015,9192
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/01/2015,9753
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/02/2015,9117
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/03/2015,9735
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/04/2015,9361
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/05/2015,6851
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/06/2015,6082
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/07/2015,8996
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/08/2015,9594
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/09/2015,9437
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/10/2015,10944
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/11/2015,10604
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/12/2015,5936
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/13/2015,5712
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/14/2015,10179
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/15/2015,10052
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/16/2015,10439
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/17/2015,9069
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/18/2015,10600
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/19/2015,7332
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/20/2015,6508
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/21/2015,10325
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/22/2015,10197
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/23/2015,10109
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/24/2015,10543
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/25/2015,10628
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/26/2015,7300
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/27/2015,6705
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/28/2015,10245
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/29/2015,10322
S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,09/30/2015,10903
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/01/2015,15229
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/02/2015,15298
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/03/2015,15092
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/04/2015,11813
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/05/2015,10476
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/06/2015,14602
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/07/2015,14896
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/08/2015,15070
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/09/2015,15144
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/10/2015,15096
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/11/2015,11682
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/12/2015,10039
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/13/2015,14747
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/14/2015,14996
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/15/2015,14973
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/16/2015,15192
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/17/2015,14643
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/18/2015,11322
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/19/2015,9791
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/20/2015,14573
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/21/2015,14701
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/22/2015,14451
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/23/2015,15045
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/24/2015,14803
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/25/2015,11128
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/26/2015,9828
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/27/2015,14341
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/28/2015,14251
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/29/2015,14356
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/30/2015,14590
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,07/31/2015,14284
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/01/2015,10381
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/02/2015,8978
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/03/2015,12749
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/04/2015,12727
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/05/2015,12802
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/06/2015,12458
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/07/2015,11581
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/08/2015,8175
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/09/2015,6954
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/10/2015,8269
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/11/2015,8446
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/12/2015,8255
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/13/2015,8027
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/14/2015,7642
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/15/2015,5722
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/16/2015,6145
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/17/2015,8019
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/18/2015,8007
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/19/2015,8291
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/20/2015,8651
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/21/2015,8865
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/22/2015,8088
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/23/2015,7662
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/24/2015,10515
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/25/2015,11157
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/26/2015,11626
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/27/2015,11931
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/28/2015,12865
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/29/2015,10541
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/30/2015,9723
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,08/31/2015,14004
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/01/2015,14523
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/02/2015,14802
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/03/2015,15151
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/04/2015,15256
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/05/2015,12264
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/06/2015,11003
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/07/2015,15134
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/08/2015,15333
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/09/2015,15380
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/10/2015,15650
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,08/07/2015,35803
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/11/2015,15773
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/12/2015,12761
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/13/2015,10671
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/14/2015,14990
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/15/2015,15489
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/16/2015,15335
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/17/2015,15756
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/18/2015,15978
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/19/2015,13136
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/20/2015,11653
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/21/2015,15255
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/22/2015,15634
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/23/2015,15215
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/24/2015,15947
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/25/2015,15875
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/26/2015,13516
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/27/2015,11736
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/28/2015,15445
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/29/2015,15506
S.P. ex S.S. 11 PADANA SUPERIORE (Tratto ovest) al Km 131+341 Dir. SETTIMO MILANESE,09/30/2015,15659
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/01/2015,43795
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/02/2015,44317
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/03/2015,46100
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/04/2015,39771
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/05/2015,31629
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/06/2015,40323
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/07/2015,42857
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/08/2015,41851
S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,07/09/2015,44756
